"","BrandCodeA","BrandCodeB","BrandCodeC","BrandCodeD","BrandCodeUnknown","CarbVolume","FillOunces","PCVolume","CarbPressure","CarbTemp","PSC","PSCFill","PSCCO2","MnfFlow","CarbPressure1","FillPressure","HydPressure2","HydPressure3","HydPressure4","FillerLevel","FillerSpeed","Temperature","Usagecont","CarbFlow","Density","MFR","Balling","PressureVacuum","OxygenFiller","BowlSetpoint","PressureSetpoint","AirPressurer","AlchRel","CarbRel","BallingLvl"
"13",0,1,0,0,0,5.22,23.89333333,0.267333333,63.4,141,0.114,0.38,0.02,-100,117.4,45.4,0,0,98,121,4012,65,17.12,2870,0.92,729.6,1.498,-4.4,0.048,120,46,146,6.52,5.34,1.46
"14",0,1,0,0,0,5.266666667,23.89333333,0.228666667,71.6,147.8,0.096,0.22,0.04,-100,113.6,46,0,0,94,120,4012,65,23.44,3040,0.92,731,1.498,-4.4,0.046,120,46,146.8,6.52,5.34,1.44
"15",0,1,0,0,0,5.266666667,23.87333333,0.334,72.6,148,0.16,0.36,0.08,-100,120.2,46.6,0,0,92,120,4010,65,21.16,3056,0.9,732.4,1.448,-4.4,0.066,120,46,146.6,6.52,5.34,1.44
"16",0,1,0,0,0,5.286666667,23.86666667,0.256666667,68,143.2,0.034,0.16,0.02,-100,129,47.4,0,0,96,119.8,4010,65.2,19.88,3290,0.9,731,1.448,-4.4,0.046,120,46,146,6.52,5.34,1.42
"17",0,0,1,0,0,5.226666667,23.69333333,0.316666667,63.8,138.2,0.124,0.2,0.06,-100,123.4,48.8,0,0,92,120.2,1624,68.8,17.02,3200,0.46,295.8,0.346,-4.2,0.164,120,46,146.6,6.52,5.34,1.46
"18",0,1,0,0,0,5.353333333,23.99333333,0.279333333,64.8,137,0.146,0.06,0.02,-100,115.6,46.4,0,0,94,120.4,4012,65.2,21.82,3082,0.88,726.4,1.398,-4,0.046,120,46,146.8,6.52,5.36,1.46
"19",0,1,0,0,0,5.366666667,24.09333333,0.261333333,70.6,143.8,0.22,0.48,0.08,-100,121.4,47,0,0,98,116.4,3060,65.4,20.32,3324,0.84,535.8,1.298,-4,0.064,120,46,146.8,6.52,5.28,1.44
"20",0,0,1,0,0,5.213333333,23.98666667,0.235333333,62.6,140.8,0.246,0.1,0.2,-100,119.6,45.4,0,0,102,120.2,4012,67.8,16.44,2970,0.86,731.8,1.348,-4,0.046,120,46,146.2,6.62,5.34,1.38
"21",0,0,1,0,0,5.22,24.26,0.112,66.8,143.4,0.042,0.08,0.06,-100,116.6,46.4,0,0,94,121,4010,65.4,16.56,3090,0.94,726.4,1.548,-4.2,0.022,120,46,146.2,6.52,5.34,1.52
"22",0,1,0,0,0,5.333333333,24.09333333,0.304666667,66,139.4,0.06,0.06,0.08,-100,130.2,44.2,0,0,130,100.2,1008,69.8,21.98,30,0.74,378.6,1.048,-4,0.11,100,50,147,6.5,5.4,1.48
"23",0,1,0,0,0,5.34,23.98666667,0.212,68.2,142.2,0.038,0.16,0.04,-100,113.6,51.4,0,0,100,96.8,2936,66.6,19.36,3418,0.82,519,1.248,-4.2,0.254,100,50,146.8,6.5,5.38,1.48
"24",0,1,0,0,0,5.413333333,23.98666667,0.292666667,70,142.8,0.124,0.02,0.04,-100,118.2,50.2,0,0,96,100.4,4016,66,24,3206,0.92,732.6,1.496,-4.2,0.084,100,50,146.4,6.52,5.38,1.48
"25",0,1,0,0,0,5.373333333,24.02,0.281333333,68,141,0.102,0.26,0.02,-100,119.2,50,0,0,90,100.2,4010,66.2,21.58,3220,0.9,734.4,1.448,-4.2,0.064,100,50,147.2,6.5,5.28,1.5
"26",0,1,0,0,0,5.313333333,23.98666667,0.294,68.2,142.2,0.052,0.18,0.1,-100,118,50,0,0,94,99.8,4016,66,20.72,3206,0.92,732.8,1.496,-4.2,0.206,100,50,146.6,6.5,5.36,1.5
"27",0,1,0,0,0,5.36,24.02666667,0.278,67,139.8,0.08,0.34,0.04,-100,115.2,50.2,0,0,102,100.2,4014,68.2,21.6,3168,0.86,740.4,1.348,-4.2,0.096,100,50,146.8,6.48,5.38,1.48
"28",0,1,0,0,0,5.446666667,24.02,0.09,70.8,142.6,0.012,0.34,0.02,-100,124.4,50,0,0,96,100.8,4012,65.6,23.58,3138,0.88,729.4,1.398,-4.2,0.09,100,50,147,6.5,5.38,1.48
"29",0,1,0,0,0,5.38,24.07333333,0.218,66.6,138.8,0.04,0.18,0.04,-100,116.4,50,0,0,92,100,4010,65.8,21.4,3212,0.9,731,1.448,-4.2,0.064,100,50,147.4,6.52,5.4,1.46
"30",0,1,0,0,0,5.393333333,24.08666667,0.212,65.8,137.4,0.102,0.1,0.02,-100,118.6,50,0,0,102,100.6,4016,66.4,18.32,3164,0.9,734.2,1.448,-4.2,0.084,100,50,147,6.5,5.4,1.46
"31",0,1,0,0,0,5.406666667,24.11333333,0.222,67.4,138.6,0.128,0.22,0.06,-100,116.8,49.8,0,0,100,100.4,4014,65.8,21.16,3194,0.9,731.6,1.448,-4.2,0.096,100,50,146.6,6.5,5.38,1.46
"32",0,1,0,0,0,5.366666667,24.09333333,0.210666667,70.8,144.2,0.068,0.04,0.08,-100,115.2,50.2,0,0,96,100.2,4010,65.8,22.9,3182,0.9,731,1.398,-4.2,0.084,100,50,146.2,6.5,5.38,1.46
"33",0,1,0,0,0,5.3,24.07333333,0.186,69.6,143.8,0.052,0.42,0.24,-100,121.2,50.4,0,0,94,110,4014,65.8,19.18,3214,0.9,730.6,1.448,-4.2,0.082,110,50,146.4,6.5,5.38,1.46
"34",0,1,0,0,0,5.36,24.08,0.154666667,68.6,141.6,0.088,0.04,0.06,-100,119.6,50,0,0,100,109.4,4010,65.8,15.88,3198,0.92,740,1.496,-4.2,0.062,110,50,147,6.52,5.38,1.5
"35",0,1,0,0,0,5.366666667,24.04666667,0.132666667,68.2,141,0.112,0.34,0.16,-100,118,50.2,0,0,94,110,4010,65.8,18.54,3220,0.92,733.8,1.496,-4.2,0.064,110,50,145.8,6.52,5.38,1.5
"36",0,1,0,0,0,5.373333333,24.00666667,0.316,69.4,142.8,0.142,0.28,0.02,-100,120.4,49.8,0,0,96,110.2,4012,67.4,19.98,3208,0.9,728.4,1.398,-4,0.064,110,50,146,6.5,5.36,1.5
"37",0,1,0,0,0,5.346666667,23.98666667,0.228,68.8,142.4,0.164,0.26,0.06,-100,121.4,43,0,0,120,120,1006,67,13.66,1464,0.86,647.2,1.346,-4,0.08,120,50,148.2,6.5,5.4,1.5
"38",0,1,0,0,0,5.373333333,24.01333333,0.2,65.2,137.4,0.112,0.34,0.02,-100,116,50.2,0,0,96,120.8,4014,66.4,21.98,3222,0.88,702.4,1.398,-4,0.06,120,50,147,6.5,5.4,1.48
"39",0,1,0,0,0,5.326666667,24.06,0.239333333,75.8,151.4,0.08,0.08,0.02,-100,117,45.8,0,0,94,119.6,4012,66.6,18.12,2986,0.86,732.6,1.346,-3.8,0.082,120,46,145.8,6.5,5.42,1.44
"40",0,0,1,0,0,5.273333333,23.86,0.112666667,65.6,140.2,0.05,0.1,0.04,-100,119.4,45.8,0,0,92,119.2,4014,67.2,13.78,2976,0.92,722,1.496,-3.8,0.062,120,46,146.2,6.64,5.38,1.6
"41",0,0,1,0,0,5.34,23.9,0.295333333,62.2,133.2,0.106,0.2,0.08,-100,118.6,41.6,0,0,120,117,1004,67.2,18.4,3144,0.86,686.2,1.346,-3.8,0.046,120,46,146.2,6.64,5.32,1.46
"42",0,0,1,0,0,5.266666667,23.96,0.310666667,69.2,144.6,0.15,0.18,0.02,-100,116.4,45.8,0,0,96,120.6,4010,67.2,16.32,2948,0.9,733.8,1.448,-3.8,0.082,120,46,145.8,6.64,5.32,1.46
"43",0,0,0,1,0,5.46,24.17333333,0.179333333,66.8,138.4,0.092,0.32,0.12,-100,117.4,45.8,0,0,84,120.2,4012,66.2,16.98,3048,1.68,732.2,3.39,-4,0.152,120,46,146.2,7.7,5.6,3.36
"44",0,0,0,1,0,5.513333333,23.97333333,0.227333333,72.6,143.4,0.134,0.22,0.02,-100,131.8,44.6,0,0,78,119.6,4014,66.2,20.48,2862,1.7,736,3.44,-4,0.116,120,46,145.8,7.7,5.6,3.36
"45",0,0,0,1,0,5.513333333,23.98,0.232,72,141.4,0.092,0.34,0.08,-100,119.4,45.6,0,0,74,118.8,4012,66.2,20.36,2922,1.7,734.4,3.44,-4,0.152,120,46,145.6,7.7,5.6,3.36
"46",0,0,0,1,0,5.493333333,24.13333333,0.202666667,68,138.8,0.07,0.34,0.1,-100,115.4,46.2,0,0,72,116.8,4012,66.4,23.86,2984,1.68,734.4,3.39,-4,0.116,120,46,147,7.7,5.58,3.36
"47",0,0,0,1,0,5.513333333,24.1,0.258,73.4,145.2,0.028,0.04,0.06,-100,120.4,45.8,0,0,80,121.8,4012,67,23.3,2892,1.68,732.4,3.39,-4,0.126,120,46,146.8,7.72,5.6,3.3
"48",0,0,0,1,0,5.58,24.04666667,0.231333333,71.6,140.6,0.042,0.14,0,-100,124.4,40.4,0,0,108,120.4,1008,71.2,23.16,28,1.56,420.8,3.1,-4,0.15,120,46,147,7.7,5.58,3.3
"49",0,0,0,1,0,5.533333333,23.98,0.219333333,72,142.8,0.054,0.16,0.06,-100,117.4,46.8,0,0,78,121.2,4012,67,22.9,3078,1.66,733.6,3.342,-4,0.122,120,46,146,7.72,5.6,3.3
"50",1,0,0,0,0,5.406666667,23.96666667,0.166666667,66.6,136.8,0.136,0.16,0.24,-100,120.4,46.8,0,0,138,136.8,1006,66.4,19.78,30,1.58,420.8,3.142,-4,0.068,120,46,146,7.72,5.6,3.3
"51",1,0,0,0,0,5.433333333,24.06666667,0.239333333,75.2,148.4,0.088,0.04,0.02,-100,113.6,45.6,0,0,110,119.8,4010,67.4,20.12,2940,1.5,732,2.944,-4,0.046,120,46,146.6,7.18,5.54,3.06
"52",1,0,0,0,0,5.44,24.2,0.251333333,69.8,141.8,0.12,0.22,0.04,-100,117.6,46.6,0,0,106,119.8,4010,66.6,23.14,3048,1.5,748,2.944,-4.2,0.048,120,46,146,7.18,5.44,3
"53",1,0,0,0,0,5.42,24.02,0.236,69.6,141.8,0.09,0.2,0.04,-100,118.2,46.4,0,0,118,120.2,4012,68.4,20.64,3018,1.5,716,2.944,-4.2,0.03,120,46,146,7.16,5.46,3.04
"54",1,0,0,0,0,5.44,24,0.214666667,70,141.8,0.082,0.12,0.04,-100,115.4,46.4,0,0,106,119.8,4010,67.6,16.4,3044,1.5,729.2,2.944,-4.2,0.064,120,46,145.6,7.18,5.46,3
"55",1,0,0,0,0,5.313333333,24.06,0.240666667,71,146.2,0.09,0.26,0.04,-100,115.4,45.8,0,0,96,118.6,4012,66,22.74,3084,1.44,716.8,2.794,-4,0.17,120,46,146,7.2,5.4,2.96
"56",0,0,0,1,0,5.56,24.02666667,0.256666667,73,142.6,0.13,0.14,0,-100,118.2,46,0,0,80,119.8,4010,66,20.16,3126,1.68,734.2,3.39,-4,0.046,120,46,145.4,7.72,5.64,3.34
"57",0,0,0,1,0,5.593333333,24.12666667,0.217333333,74,143.4,0.104,0.58,0.08,-100,113.4,45.8,0,0,80,121.8,4012,66.2,16.84,3020,1.66,729,3.34,-3.8,0.038,120,46,146.4,7.72,5.64,3.34
"58",0,0,0,1,0,5.6,24.00666667,0.222666667,68.6,135.6,0.178,0.58,0.1,-100,118,45.8,0,0,74,114.6,4018,66.4,18.44,2934,1.7,759.6,3.44,-4.2,0.08,120,46,146.2,7.7,5.64,3.34
"59",0,0,0,1,0,5.58,23.98666667,0.221333333,73.2,140.6,0.208,0.6,0.12,-100,114.6,46.2,0,0,76,120.4,4010,66.2,17.16,3012,1.72,732.8,3.49,-4.2,0.028,120,46,146.4,7.7,5.66,3.36
"60",0,0,0,1,0,5.606666667,24.06666667,0.219333333,72,140.4,0.064,0.28,0.1,-100,120.4,46.6,0,0,74,115.2,4012,66.6,22.26,3092,1.7,760.4,3.44,-4.2,0.046,120,46,146.4,7.72,5.68,3.3
"61",0,0,0,1,0,5.56,23.94,0.244666667,67,133.8,0.128,0.46,0.12,-100,121.8,45.6,0,0,80,119.2,4010,67.4,22.3,2926,1.56,735,3.094,-4.2,0.028,120,46,147,7.78,5.62,3.06
"62",0,0,0,1,0,5.513333333,24.01333333,0.294666667,70.6,141,0.076,0.08,0.04,-100,120,45.8,0,0,76,120,4010,67.2,18.56,3030,1.58,736.2,3.142,-4.2,0.028,120,46,146,7.78,5.6,3.06
"63",0,0,0,1,0,5.506666667,23.98666667,0.267333333,67,136.4,0.114,0.2,0.02,-100,122.6,46,0,0,82,119.6,4016,65.4,23,3140,1.7,736.4,3.44,-4.2,0.096,120,46,146.2,7.68,5.54,3.36
"64",0,0,0,1,0,5.493333333,23.96666667,0.259333333,68.6,140.2,0.056,0.08,0.1,-100,120,45.8,0,0,72,121.4,4010,65,17.1,3066,1.72,730.8,3.488,-4.2,0.082,120,46,145.6,7.68,5.54,3.36
"65",0,0,0,1,0,5.493333333,23.94,0.105333333,75.8,148.2,0.016,0.06,0.04,-100,118.8,45.2,0,0,78,120,4016,64.8,17.52,2824,1.66,731.8,3.34,-4.2,0.318,120,46,146,7.72,5.5,3.3
"66",0,0,0,1,0,5.413333333,23.95333333,0.234,74.4,147.2,0.056,0.12,0.04,-100,117.8,46.6,0,0,74,119,4010,64,17.2,3090,1.68,739,3.39,-4.2,0.07,120,46,146.6,7.72,5.5,3.28
"67",0,0,0,1,0,5.453333333,24.1,0.29,69.4,140.6,0.066,0.2,0.02,-100,118,45.4,0,0,76,118.8,4016,64,20.36,2972,1.7,735.4,3.438,-4.2,0.14,120,46,146.6,7.68,5.52,3.4
"68",0,0,0,1,0,5.3,23.97333333,0.240666667,66.8,139.2,0.166,0.06,0.18,-100,118.2,46.2,0,0,100,120.2,4012,66.4,20.78,3130,0.86,728.4,1.346,-4.4,0.048,120,46,146.4,6.54,5.34,1.44
"69",0,1,0,0,0,5.346666667,24.10666667,0.23,67.2,140.8,0.106,0.04,0.02,-100,117.6,47.6,0,0,132,115.8,2084,66.2,17.22,3342,0.84,362.2,1.298,-4.4,0.082,120,46,146.8,6.54,5.34,1.42
"70",0,1,0,0,0,5.373333333,23.86666667,0.270666667,66.8,139,0.1,0.14,0.06,-100,120.6,45,0,0,94,120.4,4012,66,20.9,2840,0.88,728.2,1.398,-4.4,0.03,120,46,146.6,6.54,5.34,1.42
"71",0,1,0,0,0,5.266666667,24.02666667,0.249333333,75.4,152.2,0.074,0.26,0.04,-100,117.6,46.6,0,0,88,119.4,4010,66,19.18,3110,0.9,730.6,1.448,-4.4,0.046,120,46,146.6,6.52,5.34,1.42
"72",0,0,0,1,0,5.49,23.97333333,0.314,72.6,143.8,0.14,0.08,0.02,-100,119.8,46.8,0,0,90,121.4,4014,65.6,16.2,3008,0.88,731.6,1.398,-4.4,0.062,120,46,146,6.54,5.34,1.44
"73",0,1,0,0,0,5.286666667,23.90666667,0.33,74,152.2,0.222,0.28,0.1,-100,119.8,46.8,0,0,90,121.4,4014,65.6,16.2,3008,0.88,731.6,1.398,-4.4,0.062,120,46,146,6.54,5.34,1.44
"74",0,1,0,0,0,5.353333333,23.98666667,0.317333333,70.2,143.6,0.066,0.22,0.04,-100,119,46.4,0,0,94,121.2,4010,66,21.98,2882,0.94,734.8,1.548,-4.4,0.048,120,46,145.8,6.56,5.38,1.48
"75",0,1,0,0,0,5.306666667,23.85333333,0.298666667,72.4,147.6,0.138,0.2,0.04,-100,118.6,45.4,0,0,98,119.2,4012,66.2,21.46,2812,0.9,741,1.448,-4.4,0.046,120,46,145.8,6.54,5.38,1.48
"76",0,1,0,0,0,5.266666667,23.95333333,0.288666667,70.4,146.4,0.102,0.04,0.06,-100,122.2,45.6,0,0,96,120.6,4014,66.2,16.4,2716,0.86,727.8,1.348,-4.4,0.312,120,46,146.6,6.5,5.32,1.36
"77",0,1,0,0,0,5.293333333,24.05333333,0.358,70.6,145.6,0.13,0.3,0.08,-100,108.8,45.6,0,0,94,118.6,4010,66,19.26,2896,0.86,720.8,1.348,-4.4,0.294,120,46,146.4,6.5,5.32,1.38
"78",0,1,0,0,0,5.273333333,23.82,0.300666667,70.2,145.8,0.176,0.18,0.02,-100,112.8,45.8,0,0,94,119.8,4012,66.4,17.32,3036,0.84,733.2,1.298,-4.2,0.308,120,46,146.2,6.52,5.34,1.36
"79",0,1,0,0,0,5.293333333,24.03333333,0.296666667,68,143,0.17,0.2,0.02,-100,119.2,45.2,0,0,102,119.6,4014,67.2,16.5,2912,0.86,733.6,1.346,-4,0.078,120,46,146.4,6.5,5.34,1.38
"80",0,1,0,0,0,5.293333333,23.92,0.242,66.6,140.8,0.034,0.1,0.02,-100,124.2,40,0,0,128,120.4,1010,65,13.84,32,0.9,701,1.56,-4,0.154,120,46,147,6.52,5.32,1.4
"81",0,1,0,0,0,5.3,23.96666667,0.343333333,68.8,143.4,0.046,0.08,0.04,-100,117.2,46.6,0,0,96,119.2,4012,65.8,19.72,3088,0.84,734.6,1.298,-4,0.064,120,46,146.6,6.52,5.34,1.4
"82",0,1,0,0,0,5.353333333,24.11333333,0.24,67.2,139.8,0.126,0.42,0.06,-100,116.4,46.6,0,0,94,120.6,4010,65.6,22.04,3044,0.84,732.2,1.298,-4.2,0.064,120,46,146,6.52,5.32,1.4
"83",0,1,0,0,0,5.333333333,23.98666667,0.25,65.8,139,0.124,0.16,0.04,-100,117.2,46.4,0,0,94,120.4,4010,65.4,17.24,2982,0.86,728.4,1.348,-4.2,0.06,120,46,146,6.54,5.34,1.42
"84",0,1,0,0,0,5.36,23.9,0.285333333,66.6,138.8,0.046,0.16,0.04,-100,116,46.2,0,0,90,119.2,4010,65,23.4,3058,0.9,741.2,1.448,-4.2,0.03,120,46,146.2,6.54,5.36,1.44
"85",0,1,0,0,0,5.313333333,23.88,0.318666667,68.8,143.8,0.182,0.04,0.04,-100,120.8,46.4,0,0,100,120.2,4010,65,16.8,2902,0.88,732.8,1.398,-4.2,0.128,120,46,146.6,6.54,5.34,1.42
"86",0,1,0,0,0,5.34,24.12,0.279333333,69.2,144,0.058,0.26,0.1,-100,120.2,45.8,0,0,94,119.8,4014,65,22.24,3102,0.88,736.2,1.398,-4.2,0.122,120,46,146.2,6.54,5.34,1.42
"87",1,0,0,0,0,5.366666667,23.96,0.308666667,69,142.8,0.194,0.2,0.12,-100,118.8,46.8,0,0,80,121.2,4008,65.6,20.98,3086,1.54,718.8,3.042,-4.6,0.03,120,46,146.6,7.16,5.42,3.04
"88",1,0,0,0,0,5.34,23.96,0.285333333,71.8,147.4,0.052,0.2,0.12,-100,122.2,44.8,0,0,108,119.8,4010,66.2,18.3,2740,1.58,734,3.142,-4.4,0.062,120,46,146.4,7.14,5.44,3.12
"89",0,0,0,1,0,5.46,24,0.237333333,72.4,144.2,0.048,0.36,0,-100,118.8,45.6,0,0,78,120,4012,64.2,16.96,3056,1.6,726.2,3.19,-4.2,0.102,120,46,145.8,7.78,5.52,3.14
"90",0,0,0,1,0,5.466666667,23.94666667,0.338666667,70,141.2,0.206,0.18,0.06,-100,118.6,46.4,0,0,76,119.4,4010,64,23.5,2870,1.62,731.6,3.24,-4.2,0.302,120,46,146.4,7.76,5.52,3.16
"91",0,1,0,0,0,5.406666667,23.66666667,0.242666667,65.8,137,0.154,0.12,0.04,-100,118.4,45.6,0,0,96,119.6,4010,65.6,19.5,3026,0.86,731.6,1.348,-4.2,0.064,120,46,146.6,6.52,5.36,1.4
"92",0,1,0,0,0,5.393333333,24.08666667,0.241333333,65,136.6,0.064,0.1,0.02,-100,113.8,46.4,0,0,98,120.4,4014,66.4,16.62,3038,0.82,750.8,1.248,-4.4,0.062,120,46,145.4,6.5,5.36,1.38
"93",0,1,0,0,0,5.366666667,24.12666667,0.216666667,67.6,140.4,0.042,0.02,0.06,-100,117,45.8,0,0,94,119.6,4012,67.4,19.12,3070,0.82,736,1.248,-4.2,0.062,120,46,145.2,6.5,5.36,1.38
"94",0,1,0,0,0,5.346666667,24.04666667,0.377333333,72.4,145.2,0.138,0.26,0.12,-100,116,46,0,0,92,120,4010,66.2,18.3,2892,0.84,732.2,1.298,-4.2,0.06,120,46,146.8,6.5,5.36,1.38
"95",0,1,0,0,0,5.366666667,24.02,0.245333333,65.4,137.6,0.138,0.12,0.02,-100,119.6,45.8,0,0,94,119.4,4014,66.6,18.66,3102,0.8,731.2,1.196,-4.2,0.03,120,46,145.8,6.5,5.36,1.38
"96",0,1,0,0,0,5.346666667,24.06,0.206666667,72.6,147.4,0.086,0.14,0.02,-100,116.6,45.4,0,0,94,118.8,4010,66.6,16.66,2912,0.84,736.4,1.298,-4,0.046,120,46,146,6.5,5.34,1.38
"97",0,1,0,0,0,5.353333333,23.94,0.284,64.2,136.2,0.158,0.18,0.02,-100,119.6,45.4,0,0,98,120,4010,66.8,23.16,2872,0.86,727.6,1.346,-3.8,0.082,120,46,146.2,6.52,5.38,1.34
"98",0,1,0,0,0,5.36,24.08,0.201333333,69.6,141.6,0.108,0.1,0.1,-100,121.4,48,0,0,106,114.8,2212,67.8,21.06,3324,0.6,494,0.696,-3.8,0.134,120,46,146.2,6.5,5.36,1.38
"99",0,1,0,0,0,5.333333333,23.97333333,0.286666667,69,143.4,0.108,0.14,0.08,-100,121.8,46.8,0,0,92,119.6,4018,66.8,17.7,3046,0.82,744.8,1.248,-3.8,0.08,120,46,147,6.5,5.36,1.38
"100",0,1,0,0,0,5.353333333,23.90666667,0.318,63.8,135.6,0.112,0.04,0.02,-100,119.6,45.4,0,0,96,120,4012,65.6,19.62,2852,0.84,737.4,1.298,-3.8,0.064,120,46,145.6,6.52,5.38,1.36
"101",0,1,0,0,0,5.32,24.02,0.298,66.8,141.2,0.17,0.32,0.04,-100,120.2,45.6,0,0,90,119.6,4012,65.8,19.06,2826,0.82,749,1.248,-3.8,0.096,120,46,145.8,6.52,5.36,1.36
"102",0,1,0,0,0,5.366666667,24.10666667,0.269333333,69.2,141.6,0.228,0.6,0.1,-100,121,45.2,0,0,98,119.8,4008,66.4,23.02,2972,0.84,730.6,1.298,-3.8,0.044,120,46,146.6,6.5,5.34,1.36
"103",0,1,0,0,0,5.373333333,24.04,0.288,67,139.4,0.154,0.24,0.06,-100,124.2,46.4,0,0,94,121.2,4006,66,21.26,2842,0.86,730.6,1.348,-3.8,0.048,120,46,146.6,6.5,5.36,1.36
"104",0,1,0,0,0,5.446666667,23.95333333,0.298,65.4,136.6,0.074,0.3,0.06,-100,118.2,46,0,0,90,120,4008,65.8,18.36,3108,0.82,740.6,1.248,-4,0.046,120,46,146.8,6.5,5.38,1.36
"105",0,1,0,0,0,5.366666667,23.93333333,0.293333333,66,137.8,0.052,0.36,0.06,-100,117.8,45.4,0,0,90,120,4008,66.2,19.2,2812,0.86,735,1.348,-4,0.084,120,46,146.4,6.54,5.38,1.38
"106",0,1,0,0,0,5.366666667,24.01333333,0.255333333,68.2,140.6,0.136,0.06,0.06,-100,118.8,45.4,0,0,92,119.8,4006,65.6,17.24,3012,0.86,737.2,1.348,-4,0.064,120,46,147,6.52,5.36,1.36
"107",0,1,0,0,0,5.32,23.9,0.282666667,71.6,145.8,0.084,0.32,0.06,-100,116.8,46.4,0,0,94,120.2,4016,65.4,19.76,2948,0.84,729.6,1.298,-4.2,0.024,120,46,146.8,6.52,5.36,1.36
"108",0,1,0,0,0,5.433333333,24.16,0.253333333,68.8,137.8,0.052,0.1,0.2,-100,118.2,45.2,0,0,102,120.6,4012,65.6,20.44,2762,0.84,728.4,1.298,-4.2,0.054,120,46,146.2,6.5,5.36,1.38
"109",0,1,0,0,0,5.366666667,24.12,0.158666667,76.8,147.6,0.096,0.14,0.04,-100,114,45.8,0,0,88,118.4,4010,66,23.24,3016,0.86,737,1.348,-4.2,0.03,120,46,146.6,6.5,5.38,1.42
"110",0,1,0,0,0,5.333333333,23.98,0.32,68.4,142.4,0.172,0.06,0.02,-100,117.4,46.2,0,0,92,119.6,4012,65.8,16.78,3096,0.84,741.2,1.298,-4.2,0.1,120,46,146.4,6.54,5.34,1.36
"111",0,1,0,0,0,5.313333333,24.01333333,0.284666667,70.2,144.4,0.134,0.16,0.06,-100,115.6,46.2,0,0,94,119.4,4010,65.8,23.9,3064,0.88,739.6,1.398,-4.2,0.1,120,46,146.4,6.52,5.36,1.38
